Año,Elección,Cargo,Partido,O,N,E,S,% padrón O,% padrón N,% padrón E,% padrón S,% votos emitidos O,% votos emitidos N,% votos emitidos E,% votos emitidos S,Cantidad de votos,Votos emitidos válidos,% sobre votos emitidos válidos,% padrón TOTAL,,,,
2021,Primarias,Concejales,CIUDAD FUTURA,1371,1391,1193,817,"6,65%","7,47%","7,79%","7,36%","10,20%","11,91%","12,33%","11,78%",4772,41725,"11,44%","7,28%",,,,
2021,Primarias,Concejales,UNIDOS,6713,5527,4357,3246,"32,56%","29,67%","28,45%","29,24%","49,96%","47,32%","45,03%","46,82%",19843,41725,"47,56%","30,28%",,,,
2021,Primarias,Concejales,PJ (K),1673,1508,1417,939,"8,12%","8,09%","9,25%","8,46%","12,45%","12,91%","14,64%","13,54%",5537,41725,"13,27%","8,45%",,,,
2021,Primarias,Concejales,PRO,1062,918,727,524,"5,15%","4,93%","4,75%","4,72%","7,90%","7,86%","7,51%","7,56%",3231,41725,"7,74%","4,93%","63,66%",,,
2021,Primarias,Concejales,GEN,944,799,629,480,"4,58%","4,29%","4,11%","4,32%","7,03%","6,84%","6,50%","6,92%",2852,41725,"6,84%","4,35%",,,,
2021,Primarias,Concejales,OTROS,468,405,432,315,"2,27%","2,17%","2,82%","2,84%","3,48%","3,47%","4,46%","4,54%",1620,41725,"3,88%","2,47%",,,,
2021,Primarias,Concejales,BLANCOS,454,418,300,225,"2,20%","2,24%","1,96%","2,03%","3,38%","3,58%","3,10%","3,25%",1397,41725,"3,35%","2,13%",,,,
2021,Primarias,Concejales,ANULADOS,751,714,621,387,"3,64%","3,83%","4,06%","3,49%","5,59%","6,11%","6,42%","5,58%",2473,41725,"5,93%","3,77%",,,,
2021,Generales,Diputados N,PJ (K),3077,2808,2569,1753,"14,63%","15,03%","16,37%","15,73%","21,26%","22,36%","24,73%","24,26%",10207,44644,"22,86%","15,43%",,,,
2021,Generales,Diputados N,UNIDOS,7677,6218,4702,3423,"36,51%","33,28%","29,97%","30,72%","53,05%","49,51%","45,27%","47,36%",22020,44644,"49,32%","33,29%",,,,
2021,Generales,Diputados N,IZQUIERDA,275,280,278,166,"1,31%","1,50%","1,77%","1,49%","1,90%","2,23%","2,68%","2,30%",999,44644,"2,24%","1,51%","67,50%",,,
