Año,Elección,Cargo,Partido,O,N,E,S,% padrón O,% padrón N,% padrón E,% padrón S,% votos emitidos O,% votos emitidos N,% votos emitidos E,% votos emitidos S,Cantidad de votos,Votos emitidos válidos,% sobre votos emitidos válidos,% padrón TOTAL,,,,
2025,Primarias,Convencionales DÚ,IZQUIERDA,491,482,350,243,"2,29%","2,53%","2,14%","2,15%","4,70%","5,38%","4,60%","4,69%",1566,32181,"4,87%","2,28%",,,,
2025,Primarias,Convencionales DÚ,LLA,1330,1065,819,586,"6,21%","5,58%","5,00%","5,19%","12,73%","11,90%","10,77%","11,31%",3800,32181,"11,81%","5,54%",,,,
2025,Primarias,Convencionales DÚ,PJ (K),1103,904,898,635,"5,15%","4,74%","5,48%","5,63%","10,56%","10,10%","11,81%","12,26%",3540,32181,"11,00%","5,16%","46,90%",,,
2025,Primarias,Convencionales DÚ,PJ NO K,45,43,43,31,"0,21%","0,23%","0,26%","0,27%","0,43%","0,48%","0,57%","0,60%",162,32181,"0,50%","0,24%",,,,
2025,Primarias,Convencionales DÚ,SOMOS VIDA Y LIBERTAD,1444,1187,1059,698,"6,75%","6,22%","6,46%","6,19%","13,82%","13,26%","13,93%","13,48%",4388,32181,"13,64%","6,40%",,,,
2025,Primarias,Convencionales DÚ,OTROS,725,664,632,352,"3,39%","3,48%","3,86%","3,12%","6,94%","7,42%","8,31%","6,80%",2373,32181,"7,37%","3,46%",,,,
2025,Primarias,Convencionales DÚ,UNIDOS,4468,4023,3350,2334,"20,88%","21,08%","20,44%","20,69%","42,77%","44,94%","44,05%","45,07%",14175,32181,"44,05%","20,66%",,,,
2025,Primarias,Convencionales DÚ,BLANCOS,394,255,178,143,"1,84%","1,34%","1,09%","1,27%","3,77%","2,85%","2,34%","2,76%",970,32181,"3,01%","1,41%",,,,
2025,Primarias,Convencionales DÚ,ANULADOS,446,328,276,157,"2,08%","1,72%","1,68%","1,39%","4,27%","3,66%","3,63%","3,03%",1207,32181,"3,75%","1,76%",,,,
2025,Generales,Concejales,IZQUIERDA,64,78,44,27,"0,30%","0,41%","0,27%","0,24%","0,69%","0,94%","0,64%","0,59%",213,29015,"0,73%","0,00%",,,,
2025,Generales,Concejales,LLA,1231,998,766,589,"5,75%","5,23%","4,67%","5,22%","13,25%","12,09%","11,08%","12,92%",3584,29015,"12,35%","5,22%",,,,
2025,Generales,Concejales,PJ (K),1092,975,985,603,"5,10%","5,11%","6,01%","5,34%","11,75%","11,81%","14,25%","13,23%",3655,29015,"12,60%","5,33%",,,,
2025,Generales,Concejales,CIUDAD FUTURA,1545,1423,1381,877,"7,22%","7,45%","8,43%","7,77%","16,63%","17,24%","19,98%","19,24%",5226,29015,"18,01%","7,62%","42,29%",,,
2025,Generales,Concejales,UNIDOS,4733,4212,3203,2176,"22,11%","22,07%","19,54%","19,29%","50,94%","51,03%","46,34%","47,74%",14324,29015,"49,37%","20,88%",,,,
2025,Generales,Concejales,OTROS,326,233,228,123,"1,52%","1,22%","1,39%","1,09%","3,51%","2,82%","3,30%","2,70%",910,29015,"3,14%","1,33%",,,,
2025,Generales,Concejales,BLANCOS,85,88,67,50,"0,40%","0,46%","0,41%","0,44%","0,91%","1,07%","0,97%","1,10%",290,29015,"1,00%","0,42%",,,,
2025,Generales,Concejales,ANULADOS,215,247,238,113,"1,00%","1,29%","1,45%","1,00%","2,31%","2,99%","3,44%","2,48%",813,29015,"2,80%","1,18%",,,,
2025,Generales,Diputados N,LLA,5761,4638,3735,2599,"26,92%","24,30%","22,79%","23,03%","42,23%","39,12%","36,26%","38,00%",16733,42636,"39,25%","24,55%",,,,
2025,Generales,Diputados N,UNIDOS,3980,3598,3056,1990,"18,60%","18,85%","18,65%","17,64%","29,18%","30,35%","29,67%","29,10%",12624,42636,"29,61%","18,52%",,,,
2025,Generales,Diputados N,PJ (K),2316,2084,2150,1346,"10,82%","10,92%","13,12%","11,93%","16,98%","17,58%","20,87%","19,68%",7896,42636,"18,52%","11,58%","62,55%",,,
2025,Generales,Diputados N,IZQUIERDA,306,314,257,179,"1,43%","1,65%","1,57%","1,59%","2,24%","2,65%","2,50%","2,62%",1056,42636,"2,48%","1,55%",,,,
2025,Generales,Diputados N,OTROS,620,560,566,368,"2,90%","2,93%","3,45%","3,26%","4,55%","4,72%","5,50%","5,38%",2114,42636,"4,96%","3,10%",,,,
2025,Generales,Diputados N,BLANCOS,206,199,175,115,"0,96%","1,04%","1,07%","1,02%","1,51%","1,68%","1,70%","1,68%",695,42636,"1,63%","1,02%",,,,
2025,Generales,Diputados N,ANULADOS,452,463,361,242,"2,11%","2,43%","2,20%","2,14%","3,31%","3,91%","3,50%","3,54%",1518,42636,"3,56%","2,23%",,,,
